UNIQ,PROBDENSITY,RA,DEC
1287,5.517940808962547e-11,140.625,12.024699180565822
1288,2.2752535770656985e-11,129.375,7.180755781458282
1289,2.7920525831142554e-11,132.1875,9.594068226860461
1290,1.6192907373777724e-11,126.5625,9.594068226860461
1291,1.913021576976328e-11,129.375,12.024699180565822
1292,3.198589862644227e-11,135.0,12.024699180565822
1293,3.51325093467813e-11,137.8125,14.477512185929925
1294,2.1637028986239934e-11,132.1875,14.477512185929925
1295,2.271704418345143e-11,135.0,16.957763300004142
1296,9.527147251038877e-11,146.25,12.024699180565822
1297,8.859959657266477e-11,149.0625,14.477512185929925
1298,5.713927934512964e-11,143.4375,14.477512185929925
1299,5.2644943714064693e-11,146.25,16.957763300004142
1300,7.209278556870424e-11,151.875,16.957763300004142
1301,5.428132422939399e-11,154.6875,19.47122063449069
1302,4.424479364710752e-11,149.0625,19.47122063449069
1303,3.4395933927170454e-11,151.875,22.024312837042164
1304,3.514108169547857e-11,140.625,16.957763300004142
1305,3.295957632180875e-11,143.4375,19.47122063449069
1306,2.2800450066788753e-11,137.8125,19.47122063449069
1307,2.1017823825284688e-11,140.625,22.024312837042164
1308,2.793602185867654e-11,146.25,22.024312837042164
1309,2.212322297545278e-11,149.0625,24.624318352164074
1310,1.801465790987451e-11,143.4375,24.624318352164074
1311,1.3308045270283233e-11,146.25,27.279612735978095
1312,1.1850089696258803e-11,123.74999999999999,12.024699180565822
1313,1.3289450959348125e-11,126.5625,14.477512185929925
1314,7.292407392137472e-12,120.9375,14.477512185929925
1315,8.07028374140695e-12,123.74999999999999,16.957763300004142
1316,1.4589930638202716e-11,129.375,16.957763300004142
1317,1.5047003269759338e-11,132.1875,19.47122063449069
1318,7.365105213920257e-12,126.5625,19.47122063449069
1319,7.1309800755299594e-12,129.375,22.024312837042164
1320,2.1756685291963508e-12,118.125,16.957763300004142
1321,2.2969505379222774e-12,120.9375,19.47122063449069
1322,7.92128862977645e-13,115.31249999999999,19.47122063449069
1323,8.345199512652436e-13,118.125,22.024312837042164
1324,2.3127713643088934e-12,123.74999999999999,22.024312837042164
1325,1.9552209293960117e-12,126.5625,24.624318352164074
1326,8.173760402563162e-13,120.9375,24.624318352164074
1327,7.604010930830485e-13,123.74999999999999,27.279612735978095
1328,1.444160348383444e-11,135.0,22.024312837042164
1329,1.2362798565004192e-11,137.8125,24.624318352164074
1330,5.333788480502581e-12,132.1875,24.624318352164074
1331,4.219101613939803e-12,135.0,27.279612735978095
1332,8.656184256830912e-12,140.625,27.279612735978095
1333,5.04226334980941e-12,143.4375,30.000000000000004
1334,2.7335350983082126e-12,137.8125,30.000000000000004
1335,1.6895724324810144e-12,140.625,32.797168295823646
1336,1.7121979041067802e-12,129.375,27.279612735978095
1337,1.334022439645054e-12,132.1875,30.000000000000004
1338,6.409145966600894e-13,126.5625,30.000000000000004
1339,5.075739970635398e-13,129.375,32.797168295823646
1340,9.763565623134986e-13,135.0,32.797168295823646
1341,6.730815070037821e-13,137.8125,35.68533471265205
1342,3.695755018728388e-13,132.1875,35.68533471265205
1343,2.430008234074452e-13,135.0,38.68218745348944
1344,4.106761881950481e-11,157.5,22.024312837042164
1345,3.043545308963563e-11,160.3125,24.624318352164074
1346,2.6502573248886964e-11,154.6875,24.624318352164074
1347,2.0851671869159298e-11,157.5,27.279612735978095
1348,1.9962984900224288e-11,163.125,27.279612735978095
1349,1.084303349239358e-11,165.9375,30.000000000000004
1350,1.4748859005739798e-11,160.3125,30.000000000000004
1351,7.450363599818691e-12,163.125,32.797168295823646
1352,1.7009329717661038e-11,151.875,27.279612735978095
1353,1.1089047454682044e-11,154.6875,30.000000000000004
1354,8.115967411394559e-12,149.0625,30.000000000000004
1355,3.9290166460171995e-12,151.875,32.797168295823646
1356,6.571708416327189e-12,157.5,32.797168295823646
1357,3.811026207991612e-12,160.3125,35.68533471265205
1358,2.399149996479538e-12,154.6875,35.68533471265205
1359,1.65892590406367e-12,157.5,38.68218745348944
1360,4.1087150099416065e-12,168.75,32.797168295823646
1361,2.22766570654555e-12,171.5625,35.68533471265205
1362,2.657744302035944e-12,165.9375,35.68533471265205
1363,9.651508383334292e-13,168.75,38.68218745348944
1364,1.572880124316177e-12,174.375,38.68218745348944
1365,1.1588989628496167e-12,177.1875,41.810314895778596
1366,5.716060104937413e-13,171.5625,41.810314895778596
1367,5.352229185461025e-13,177.0,44.99388015045712
1368,1.7338051392866957e-12,163.125,38.68218745348944
1369,4.642952419957857e-13,165.9375,41.810314895778596
1370,8.889630453869313e-13,160.3125,41.810314895778596
1371,1.8301359380209632e-13,165.00000000000003,44.99388015045712
1372,2.392659925863856e-13,171.0,44.99388015045712
1373,2.2402910160999002e-13,176.78571428571428,48.14120779436028
1374,9.548429137492743e-14,170.35714285714286,48.14120779436028
1375,8.442867150847348e-14,176.53846153846155,51.25580694880489
1376,2.5315833954569067e-12,146.25,32.797168295823646
1377,1.499209945323025e-12,149.0625,35.68533471265205
