Name,RA,Dec
LCS_185,295.87,31.36
LCS_186,326.58,32.09
LCS_187,263.41,32.52
LCS_188,231.66,33.85
LCS_189,247.57,34.37
LCS_190,202.7,35.41
LCS_191,343.19,36.98
LCS_192,145.08,37.89
LCS_193,310.4,38.62
LCS_194,92.99,39.36
LCS_195,187.37,39.41
LCS_196,0.51,39.76
LCS_197,18.56,39.85
LCS_198,39.25,39.94
LCS_199,170.34,40.6
LCS_200,128.38,41.14
LCS_201,110.74,41.44
LCS_202,57.29,41.99
LCS_203,75.42,42.3
LCS_204,274.26,43.3
LCS_205,218.06,43.89
LCS_206,292.01,45.25
LCS_207,327.84,45.55
LCS_208,256.15,46.91
LCS_209,236.78,47.46
LCS_210,156.3,48.79
LCS_211,200.67,50.4
LCS_212,28.81,50.89
LCS_213,346.55,50.93
LCS_214,309.04,51.83
LCS_215,93.71,52.25
LCS_216,7.56,53.1
LCS_217,178.95,53.15
LCS_218,137.54,53.63
LCS_219,49.51,54.58
LCS_220,115.68,54.9
LCS_221,71.9,55.75
LCS_222,274.53,56.65
LCS_223,221.14,58.26
LCS_224,248.25,60.4
LCS_225,328.2,60.49
LCS_226,160.54,62.91
LCS_227,297.25,62.98
LCS_228,194.02,64.51
LCS_229,27.68,64.56
LCS_230,355.38,65.78
LCS_231,95.39,65.94
LCS_232,130.24,67.86
LCS_233,60.42,68.93
LCS_234,269.48,71.5
LCS_235,225.21,72.25
LCS_236,319.93,74.5
LCS_237,170.88,76.49
LCS_238,19.75,78.52
LCS_239,99.62,79.91
LCS_240,257.28,85.63
